tarea,modelo,metrica,valor
clasificacion_binario,logistic_regression,precision_macro,0.796387041021041
clasificacion_binario,logistic_regression,recall_macro,0.7901720408121092
clasificacion_binario,logistic_regression,f1_macro,0.7912750318570659
clasificacion_binario,logistic_regression,accuracy,0.7935943060498221
clasificacion_binario,logistic_regression,roc_auc,0.8844350570164197
clasificacion_binario,logistic_regression,mse,0.20640569395017794
clasificacion_binario,logistic_regression,r2,0.17179525014027341
clasificacion_binario,random_forest,precision_macro,0.8171908761653937
clasificacion_binario,random_forest,recall_macro,0.8181319960840601
clasificacion_binario,random_forest,f1_macro,0.816701834155741
clasificacion_binario,random_forest,accuracy,0.8167873358694319
clasificacion_binario,random_forest,roc_auc,0.8989298597916083
clasificacion_binario,random_forest,mse,0.18321266413056816
clasificacion_binario,random_forest,r2,0.26485749611143183
clasificacion_binario,gradient_boosting,precision_macro,0.8195181679135375
clasificacion_binario,gradient_boosting,recall_macro,0.8203627489260592
clasificacion_binario,gradient_boosting,f1_macro,0.8186987733184597
clasificacion_binario,gradient_boosting,accuracy,0.8187507669652718
clasificacion_binario,gradient_boosting,roc_auc,0.8997363955104215
clasificacion_binario,gradient_boosting,mse,0.18124923303472817
clasificacion_binario,gradient_boosting,r2,0.2727357814846515
clasificacion_ordinal,logistic_regression,precision_macro,0.5382109502399246
clasificacion_ordinal,logistic_regression,recall_macro,0.44972012498737
clasificacion_ordinal,logistic_regression,f1_macro,0.41863195689996713
clasificacion_ordinal,logistic_regression,accuracy,0.594428764265554
clasificacion_ordinal,logistic_regression,roc_auc,
clasificacion_ordinal,random_forest,precision_macro,0.5821504098918528
clasificacion_ordinal,random_forest,recall_macro,0.47239388017283646
clasificacion_ordinal,random_forest,f1_macro,0.46152446431816846
clasificacion_ordinal,random_forest,accuracy,0.6093999263713339
clasificacion_ordinal,random_forest,roc_auc,
clasificacion_ordinal,gradient_boosting,precision_macro,0.5770920872988231
clasificacion_ordinal,gradient_boosting,recall_macro,0.4647790490608661
clasificacion_ordinal,gradient_boosting,f1_macro,0.446436560739217
clasificacion_ordinal,gradient_boosting,accuracy,0.6096453552583139
clasificacion_ordinal,gradient_boosting,roc_auc,
regresion_score,linear_regression,mse,236.16117858469545
regresion_score,linear_regression,rmse,15.367536516458825
regresion_score,linear_regression,r2,0.13015750081274713
regresion_score,random_forest,mse,228.25596264835374
regresion_score,random_forest,rmse,15.108142263308013
regresion_score,random_forest,r2,0.15927444894068132
regresion_score,gradient_boosting,mse,218.4261648289575
regresion_score,gradient_boosting,rmse,14.779247776154154
regresion_score,gradient_boosting,r2,0.19548012826939698
kmeans,k=2,silhouette,0.11452233212375362
kmeans,k=3,silhouette,0.08198911994427766
kmeans,k=4,silhouette,0.07584261449946471
pi2_kongo,logistic_regression,precision_macro,0.9326923076923077
pi2_kongo,logistic_regression,recall_macro,0.9782608695652174
pi2_kongo,logistic_regression,f1_macro,0.9528064146620847
pi2_kongo,logistic_regression,accuracy,0.9660194174757282
pi2_kongo,logistic_regression,roc_auc,0.9917184265010351
pi2_kongo,logistic_regression,msePI2,0.03398058252427184
pi2_kongo,logistic_regression,r2PI2,0.8009661835748791
pi2_kongo,random_forest,precision_macro,0.9411764705882353
pi2_kongo,random_forest,recall_macro,0.9813664596273293
pi2_kongo,random_forest,f1_macro,0.959256329113924
pi2_kongo,random_forest,accuracy,0.970873786407767
pi2_kongo,random_forest,roc_auc,0.9913043478260869
pi2_kongo,random_forest,msePI2,0.02912621359223301
pi2_kongo,random_forest,r2PI2,0.829399585921325
pi2_kongo,gradient_boosting,precision_macro,0.9324060834524892
pi2_kongo,gradient_boosting,recall_macro,0.959144237405107
pi2_kongo,gradient_boosting,f1_macro,0.944868192158437
pi2_kongo,gradient_boosting,accuracy,0.9611650485436893
pi2_kongo,gradient_boosting,roc_auc,0.9867494824016563
pi2_kongo,gradient_boosting,msePI2,0.038834951456310676
pi2_kongo,gradient_boosting,r2PI2,0.7725327812284334
